material_input,llm_provider,llm_model,success,error_message,llm_formula,llm_space_group,llm_lattice_params,llm_atomic_positions,mp_formula,mp_space_group,mp_lattice_params,mp_atomic_positions,processing_time,api_failure,score
Silicon,google,gemini-2.5-flash,True,,Si,Fd-3m,"{'a': 5.431, 'b': 5.431, 'c': 5.431, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Si', 'position': [0.0, 0.0, 0.0]}, {'element': 'Si', 'position': [0.25, 0.25, 0.25]}]",Si,Fd-3m,"{'a': 3.8492784033699095, 'b': 3.8492794116013456, 'c': 3.849278, 'alpha': 60.00001213094421, 'beta': 60.00000346645984, 'gamma': 60.0000109754579}","[{'element': 'Si', 'position': [0.875, 0.875, 0.875]}, {'element': 'Si', 'position': [0.125, 0.125, 0.125]}]",11.378150701522827,False,1.0
Diamond,google,gemini-2.5-flash,True,,C,Fd-3m,"{'a': 3.567, 'b': 3.567, 'c': 3.567, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'C', 'position': [0.0, 0.0, 0.0]}, {'element': 'C', 'position': [0.5, 0.5, 0.5]}]",C,P6_3/mmc,"{'a': 2.467291, 'b': 2.4672915232061654, 'c': 7.8030729999999995, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0000063925213}","[{'element': 'C', 'position': [0.0, 0.0, 0.25]}, {'element': 'C', 'position': [0.0, 0.0, 0.75]}, {'element': 'C', 'position': [0.333333, 0.666667, 0.25]}, {'element': 'C', 'position': [0.666667, 0.333333, 0.75]}]",16.615215063095093,False,0.5
Graphite,google,gemini-2.5-flash,True,,C,P6_3/mmc,"{'a': 2.461, 'b': 2.461, 'c': 6.708, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'C', 'position': [0.0, 0.0, 0.0]}, {'element': 'C', 'position': [0.0, 0.0, 0.5]}, {'element': 'C', 'position': [0.33333333, 0.66666667, 0.25]}, {'element': 'C', 'position': [0.66666667, 0.33333333, 0.75]}]",C,P6_3/mmc,"{'a': 2.467291, 'b': 2.4672915232061654, 'c': 7.8030729999999995, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0000063925213}","[{'element': 'C', 'position': [0.0, 0.0, 0.25]}, {'element': 'C', 'position': [0.0, 0.0, 0.75]}, {'element': 'C', 'position': [0.333333, 0.666667, 0.25]}, {'element': 'C', 'position': [0.666667, 0.333333, 0.75]}]",11.417325735092165,False,0.8817
Aluminum,google,gemini-2.5-flash,True,,Al,Fm-3m,"{'a': 4.05, 'b': 4.05, 'c': 4.05, 'alpha': 90, 'beta': 90, 'gamma': 90}","[{'element': 'Al', 'position': [0.0, 0.0, 0.0]}]",Al,Fm-3m,"{'a': 2.8559542459167657, 'b': 2.855954291634759, 'c': 2.855955, 'alpha': 60.00000337792521, 'beta': 60.00000284838631, 'gamma': 60.00000242846307}","[{'element': 'Al', 'position': [0.0, 0.0, 0.0]}]",14.766170978546144,False,1.0
Copper,google,gemini-2.5-flash,True,,Cu,Fm-3m,"{'a': 3.615, 'b': 3.615, 'c': 3.615, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Cu', 'position': [0.0, 0.0, 0.0]}, {'element': 'Cu', 'position': [0.5, 0.5, 0.0]}, {'element': 'Cu', 'position': [0.5, 0.0, 0.5]}, {'element': 'Cu', 'position': [0.0, 0.5, 0.5]}]",Cu,Fm-3m,"{'a': 2.5296252999953506, 'b': 2.5296258526342896, 'c': 2.52962495, 'alpha': 60.00001167291316, 'beta': 60.00000444609542, 'gamma': 60.000002640914175}","[{'element': 'Cu', 'position': [0.0, 0.0, 0.0]}]",8.915177583694458,False,1.0
Iron,google,gemini-2.5-flash,True,,Fe,Im-3m,"{'a': 2.866, 'b': 2.866, 'c': 2.866, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Fe', 'position': [0.0, 0.0, 0.0]}]",Fe,Im-3m,"{'a': 2.48, 'b': 2.48, 'c': 2.48, 'alpha': 109.44, 'beta': 109.45, 'gamma': 109.47}","[{'element': 'Fe', 'position': [0.0, 0.0, 0.0]}]",19.0204918384552,False,1.0
Gold,google,gemini-2.5-flash,True,,Au,Fm-3m,"{'a': 4.078, 'b': 4.078, 'c': 4.078, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Au', 'position': [0.0, 0.0, 0.0]}]",Au,Fm-3m,"{'a': 2.9495462029697044, 'b': 2.949546752142606, 'c': 2.949546, 'alpha': 60.000008435423545, 'beta': 60.000002276344645, 'gamma': 60.00000120154806}","[{'element': 'Au', 'position': [0.0, 0.0, 0.0]}]",19.02848553657532,False,1.0
Silver,google,gemini-2.5-flash,True,,Ag,Fm-3m,"{'a': 4.086, 'b': 4.086, 'c': 4.086, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ag', 'position': [0.0, 0.0, 0.0]}, {'element': 'Ag', 'position': [0.5, 0.5, 0.0]}, {'element': 'Ag', 'position': [0.5, 0.0, 0.5]}, {'element': 'Ag', 'position': [0.0, 0.5, 0.5]}]",Ag,Fm-3m,"{'a': 2.902218654456314, 'b': 2.902218260449534, 'c': 2.90221738, 'alpha': 60.000010035439125, 'beta': 60.00001452635982, 'gamma': 59.999991450966775}","[{'element': 'Ag', 'position': [0.0, 0.0, 0.0]}]",8.365992546081543,False,1.0
Titanium,google,gemini-2.5-flash,True,,Ti,P6_3/mmc,"{'a': 2.9508, 'b': 2.9508, 'c': 4.6831, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'Ti', 'position': [0.33333333, 0.66666667, 0.25]}, {'element': 'Ti', 'position': [0.66666667, 0.33333333, 0.75]}]",Ti,P6/mmm,"{'a': 4.56737542, 'b': 4.56737424113343, 'c': 2.82624427, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999363769648}","[{'element': 'Ti', 'position': [0.0, 0.0, 0.0]}, {'element': 'Ti', 'position': [0.333333, 0.666667, 0.5]}, {'element': 'Ti', 'position': [0.666667, 0.333333, 0.5]}]",16.40642547607422,False,0.5
Zinc,google,gemini-2.5-flash,True,,Zn,P6_3/mmc,"{'a': 2.665, 'b': 2.665, 'c': 4.947, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'Zn', 'position': [0.0, 0.0, 0.0]}, {'element': 'Zn', 'position': [0.33333333, 0.66666667, 0.5]}]",Zn,P6_3/mmc,"{'a': 2.61436012, 'b': 2.614359482682322, 'c': 4.87316102, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99998275785532}","[{'element': 'Zn', 'position': [0.333333, 0.666667, 0.25]}, {'element': 'Zn', 'position': [0.666667, 0.333333, 0.75]}]",7.169168949127197,False,1.0
